 ,X,Y,Slice
1,4.707,27.759,1
2,65.112,27.779,1
3,4.606,27.618,2
4,65.434,27.779,2
5,11.365,27.940,3
6,65.273,28.101,3
7,18.445,27.779,4
8,65.273,27.779,4
9,24.882,27.135,5
10,65.273,27.779,5
11,31.963,28.101,6
12,65.273,27.940,6
13,38.721,27.457,7
14,65.756,28.101,7
15,45.480,27.618,8
16,65.112,27.779,8
17,52.399,28.101,9
18,65.434,27.779,9
19,59.319,28.261,10
20,64.790,27.779,10
21,60.284,28.744,11
22,70.261,27.457,11
23,60.445,29.066,12
24,75.411,27.618,12
25,61.733,28.422,13
26,80.078,27.457,13
27,62.216,27.618,14
28,84.744,27.135,14
29,63.664,28.101,15
30,89.733,26.974,15
31,64.629,28.101,16
32,93.756,27.135,16
33,65.756,27.618,17
34,98.583,26.813,17
35,67.365,27.457,18
36,102.928,26.170,18
37,69.296,27.618,19
38,107.112,26.170,19
39,70.583,27.618,20
40,110.974,25.848,20
41,72.836,27.457,21
42,115.158,26.009,21
43,74.767,27.135,22
44,118.537,26.170,22
45,77.342,26.974,23
46,122.399,26.170,23
47,79.273,26.813,24
48,125.618,26.170,24
49,81.848,27.135,25
50,128.836,25.848,25
51,84.101,26.974,26
52,132.055,25.687,26
53,86.353,26.652,27
54,135.434,26.170,27
55,88.928,26.491,28
56,138.974,25.365,28
57,91.181,27.296,29
58,141.549,25.848,29
59,93.595,27.618,30
60,144.606,26.170,30
61,96.009,27.135,31
62,147.664,24.721,31
63,98.261,27.457,32
64,151.043,24.882,32
65,100.675,26.652,33
66,153.940,24.078,33
