 ,X,Y,Slice
1,174.510,21.910,1
2,174.533,21.840,2
3,169.307,21.840,3
4,164.267,22.027,4
5,158.853,22.213,5
6,152.320,22.400,6
7,145.717,22.517,7
8,138.623,22.890,8
9,130.597,23.450,9
10,122.010,23.637,10
11,113.237,24.010,11
12,103.903,24.570,12
13,94.197,25.130,13
14,83.930,25.130,14
15,72.917,25.877,15
16,62.277,26.250,16
17,50.330,26.623,17
18,37.823,26.810,18
19,25.503,27.743,19
20,35.957,27.370,20
21,44.543,26.810,21
22,53.503,26.997,22
23,61.717,26.997,23
24,70.117,26.250,24
25,77.023,26.250,25
26,83.930,25.877,26
27,90.463,25.503,27
28,96.250,25.503,28
29,101.290,25.503,29
30,106.330,25.503,30
31,110.810,25.130,31
32,114.170,25.130,32
33,117.343,25.317,33
34,119.770,25.503,34
35,121.823,25.130,35
36,122.943,24.943,36
37,123.877,24.943,37
38,124.437,24.757,38
39,123.877,25.130,39
40,122.943,24.757,40
41,121.450,25.130,41
42,119.770,25.130,42
43,116.597,25.130,43
44,113.797,25.503,44
45,110.063,25.317,45
46,105.397,26.063,46
47,100.730,25.877,47
48,95.130,25.877,48
49,89.343,26.063,49
50,82.437,26.623,50
51,75.530,26.623,51
52,67.503,26.997,52
53,59.103,26.997,53
54,50.890,27.370,54
55,41.930,27.743,55
56,32.223,27.743,56
57,22.703,28.490,57
58,25.317,28.490,58
59,32.970,28.117,59
60,39.690,28.117,60
61,46.783,27.557,61
62,52.757,27.557,62
63,57.983,27.183,63
64,63.210,26.997,64
65,67.503,26.810,65
66,71.423,26.437,66
67,75.157,26.623,67
68,77.583,26.250,68
69,80.197,26.623,69
70,81.877,26.623,70
71,83.370,26.250,71
72,83.370,26.437,72
73,83.370,26.623,73
74,82.997,26.623,74
75,81.503,26.437,75
76,79.823,26.437,76
77,77.583,26.623,77
78,74.970,26.997,78
79,71.423,26.997,79
80,66.943,27.183,80
81,62.090,27.370,81
82,57.237,26.997,82
83,51.263,27.557,83
84,45.290,27.370,84
85,38.197,27.930,85
86,31.103,27.743,86
87,23.077,28.863,87
88,14.303,28.303,88
